"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/03/2025","136,500.0","136,100.0","138,000.0","136,100.0","3.61M","0.44%"
"12/03/2025","135,900.0","137,700.0","138,700.0","135,900.0","6.19M","-1.16%"
"11/03/2025","137,500.0","138,000.0","138,500.0","137,000.0","5.78M","-1.29%"
"10/03/2025","139,300.0","141,500.0","141,500.0","139,200.0","5.32M","-1.49%"
"07/03/2025","141,400.0","141,700.0","142,700.0","141,100.0","2.95M","-0.14%"
"06/03/2025","141,600.0","139,500.0","143,500.0","139,500.0","6.42M","1.80%"
"05/03/2025","139,100.0","140,000.0","140,100.0","139,100.0","2.85M","-0.64%"
"04/03/2025","140,000.0","139,500.0","140,600.0","139,300.0","3.47M","-0.36%"
"03/03/2025","140,500.0","140,500.0","141,400.0","140,300.0","2.53M","0.14%"
"28/02/2025","140,300.0","140,100.0","141,100.0","139,000.0","4.69M","-0.71%"
"27/02/2025","141,300.0","142,000.0","142,200.0","140,700.0","3.42M","-0.35%"
"26/02/2025","141,800.0","139,100.0","141,800.0","138,900.0","3.32M","2.01%"
"25/02/2025","139,000.0","140,400.0","140,400.0","138,200.0","6.81M","-1.07%"
"24/02/2025","140,500.0","142,000.0","142,000.0","139,500.0","7.50M","-1.06%"
"21/02/2025","142,000.0","142,800.0","142,900.0","141,500.0","5.31M","-0.70%"
"20/02/2025","143,000.0","144,200.0","144,600.0","143,000.0","3.39M","-0.69%"
"19/02/2025","144,000.0","143,900.0","144,900.0","143,100.0","3.03M","0.07%"
"18/02/2025","143,900.0","143,800.0","144,400.0","143,100.0","1.66M","0.21%"
"17/02/2025","143,600.0","145,000.0","145,000.0","143,400.0","2.47M","-0.90%"
"14/02/2025","144,900.0","144,000.0","145,000.0","143,600.0","3.25M","1.26%"
"13/02/2025","143,100.0","145,000.0","145,000.0","142,700.0","2.85M","-1.31%"
"12/02/2025","145,000.0","145,600.0","145,700.0","144,300.0","1.89M","-0.28%"
"11/02/2025","145,400.0","142,200.0","145,400.0","140,100.0","5.36M","2.39%"
"10/02/2025","142,000.0","145,500.0","145,500.0","142,000.0","7.75M","-2.81%"
"07/02/2025","146,100.0","146,500.0","146,700.0","145,800.0","3.87M","-0.27%"
"06/02/2025","146,500.0","147,000.0","147,300.0","145,600.0","3.43M","0.14%"
"05/02/2025","146,300.0","146,900.0","147,500.0","145,800.0","5.20M","0.07%"
"04/02/2025","146,200.0","146,000.0","147,000.0","145,300.0","5.47M","0.48%"
"03/02/2025","145,500.0","148,000.0","149,200.0","145,300.0","12.75M","-5.15%"
"24/01/2025","153,400.0","154,100.0","154,500.0","153,400.0","3.66M","-0.58%"
"23/01/2025","154,300.0","150,100.0","156,000.0","150,000.0","7.06M","3.07%"
"22/01/2025","149,700.0","149,600.0","150,600.0","149,200.0","2.79M","-0.13%"
"21/01/2025","149,900.0","150,500.0","151,400.0","149,000.0","2.48M","-0.07%"
"20/01/2025","150,000.0","149,000.0","150,400.0","148,200.0","2.22M","0.67%"
"17/01/2025","149,000.0","146,600.0","150,100.0","146,000.0","3.54M","1.71%"
"16/01/2025","146,500.0","146,200.0","147,000.0","145,200.0","3.57M","0.69%"
"15/01/2025","145,500.0","146,000.0","146,500.0","144,800.0","2.84M","0.28%"
"14/01/2025","145,100.0","147,600.0","148,000.0","145,100.0","2.90M","-1.69%"
"13/01/2025","147,600.0","146,100.0","148,500.0","144,700.0","3.49M","0.20%"
"10/01/2025","147,300.0","148,800.0","149,100.0","147,200.0","2.52M","-1.01%"
"09/01/2025","148,800.0","148,300.0","149,200.0","148,000.0","1.71M","0.34%"
"08/01/2025","148,300.0","150,000.0","150,000.0","148,100.0","3.88M","-1.20%"
"07/01/2025","150,100.0","149,500.0","151,300.0","149,500.0","3.45M","0.54%"
"06/01/2025","149,300.0","149,100.0","150,200.0","148,400.0","3.47M","0.20%"
"03/01/2025","149,000.0","151,300.0","151,300.0","149,000.0","4.34M","-1.97%"
"02/01/2025","152,000.0","152,500.0","152,700.0","150,100.0","3.17M","-0.33%"
"31/12/2024","152,500.0","150,700.0","153,900.0","150,300.0","3.60M","1.33%"
"30/12/2024","150,500.0","149,400.0","150,800.0","148,500.0","1.98M","0.60%"
"27/12/2024","149,600.0","149,500.0","149,900.0","148,700.0","2.56M","-0.13%"
"26/12/2024","149,800.0","151,000.0","151,400.0","149,100.0","2.23M","-0.66%"
"25/12/2024","150,800.0","150,600.0","151,200.0","150,400.0","2.51M","0.27%"
"24/12/2024","150,400.0","150,000.0","150,800.0","149,400.0","2.30M","0.40%"
"23/12/2024","149,800.0","149,500.0","149,900.0","148,700.0","2.51M","0.20%"
"20/12/2024","149,500.0","148,500.0","150,600.0","148,300.0","3.54M","0.95%"
"19/12/2024","148,100.0","147,300.0","149,000.0","147,200.0","4.81M","-0.40%"
"18/12/2024","148,700.0","148,000.0","149,800.0","148,000.0","2.92M","0.47%"
"17/12/2024","148,000.0","150,100.0","150,500.0","147,700.0","5.95M","-1.27%"
"16/12/2024","149,900.0","149,600.0","150,600.0","149,500.0","3.29M","0.27%"
"13/12/2024","149,500.0","149,500.0","150,900.0","149,400.0","3.38M","-0.47%"
"12/12/2024","150,200.0","151,900.0","151,900.0","149,200.0","4.15M","-0.20%"
"11/12/2024","150,500.0","150,000.0","151,700.0","149,700.0","4.82M","0.67%"
"10/12/2024","149,500.0","147,100.0","149,500.0","147,000.0","3.60M","1.70%"
"09/12/2024","147,000.0","149,200.0","149,500.0","146,100.0","4.54M","-1.67%"
"06/12/2024","149,500.0","151,900.0","151,900.0","148,000.0","4.54M","0.67%"
"05/12/2024","148,500.0","144,000.0","148,500.0","143,600.0","4.85M","3.48%"
"04/12/2024","143,500.0","145,000.0","146,300.0","142,800.0","5.61M","-1.03%"
"03/12/2024","145,000.0","141,700.0","145,900.0","141,700.0","5.10M","1.97%"
"02/12/2024","142,200.0","144,300.0","146,000.0","141,600.0","6.62M","-0.77%"
"29/11/2024","143,300.0","138,434.0","144,392.0","138,037.0","11.59M","3.52%"
"28/11/2024","138,434.0","138,434.0","139,030.0","137,342.0","4.74M","0.36%"
"27/11/2024","137,937.0","134,263.0","138,732.0","134,263.0","9.81M","2.74%"
"26/11/2024","134,263.0","132,476.0","134,958.0","132,376.0","4.18M","0.97%"
"25/11/2024","132,972.0","133,071.0","133,071.0","132,277.0","1.85M","0.00%"
"22/11/2024","132,972.0","131,979.0","133,469.0","131,582.0","2.92M","0.68%"
"21/11/2024","132,078.0","131,482.0","132,078.0","130,092.0","3.18M","0.45%"
"20/11/2024","131,482.0","129,099.0","131,482.0","125,822.0","8.46M","1.85%"
"19/11/2024","129,099.0","132,575.0","132,674.0","129,000.0","7.64M","-2.98%"
"18/11/2024","133,071.0","133,071.0","133,667.0","131,582.0","3.90M","0.07%"
"15/11/2024","132,972.0","134,362.0","134,760.0","131,681.0","6.56M","-1.54%"
"14/11/2024","135,058.0","136,944.0","138,930.0","135,058.0","4.74M","-1.31%"
"13/11/2024","136,845.0","135,753.0","137,143.0","135,157.0","3.46M","0.73%"
"12/11/2024","135,852.0","137,640.0","137,937.0","134,958.0","2.91M","-1.08%"
"11/11/2024","137,342.0","135,554.0","138,533.0","135,058.0","5.29M","1.84%"
"08/11/2024","134,859.0","135,157.0","135,852.0","134,164.0","2.11M","0.52%"
"07/11/2024","134,164.0","134,362.0","136,646.0","133,270.0","3.57M","0.37%"
"06/11/2024","133,667.0","132,178.0","133,667.0","132,078.0","1.80M","1.51%"
"05/11/2024","131,681.0","132,078.0","133,071.0","131,383.0","1.66M","-0.15%"
"04/11/2024","131,880.0","133,667.0","133,667.0","131,780.0","3.18M","-1.34%"
"01/11/2024","133,667.0","134,064.0","134,064.0","132,674.0","2.67M","-0.96%"
"31/10/2024","134,958.0","134,958.0","135,058.0","134,362.0","1.24M","0.00%"
"30/10/2024","134,958.0","134,462.0","134,958.0","134,263.0","1.71M","0.37%"
"29/10/2024","134,462.0","134,462.0","134,561.0","133,866.0","2.46M","0.37%"
"28/10/2024","133,965.0","133,171.0","134,064.0","132,674.0","1.51M","0.67%"
"25/10/2024","133,071.0","133,369.0","133,667.0","132,674.0","1.84M","-0.22%"
"24/10/2024","133,369.0","133,270.0","133,369.0","132,873.0","2.28M","0.07%"
"23/10/2024","133,270.0","131,979.0","133,866.0","131,681.0","3.02M","0.83%"
"22/10/2024","132,178.0","134,760.0","134,760.0","132,078.0","6.01M","-1.77%"
"21/10/2024","134,561.0","136,051.0","136,746.0","134,561.0","2.68M","-1.10%"
"18/10/2024","136,051.0","136,448.0","136,845.0","135,653.0","2.17M","0.00%"
"17/10/2024","136,051.0","135,554.0","136,150.0","134,561.0","2.58M","0.51%"
"16/10/2024","135,355.0","135,455.0","136,150.0","135,058.0","2.76M","-0.51%"
"15/10/2024","136,051.0","136,646.0","137,640.0","135,653.0","2.86M","-0.44%"
"14/10/2024","136,646.0","140,122.0","140,321.0","136,150.0","5.61M","-1.43%"
"11/10/2024","138,633.0","141,016.0","141,810.0","138,633.0","3.81M","-1.48%"
"10/10/2024","140,718.0","134,859.0","141,016.0","134,859.0","9.95M","4.65%"
"09/10/2024","134,462.0","133,369.0","134,859.0","133,369.0","2.62M","1.20%"
"08/10/2024","132,873.0","133,171.0","134,164.0","132,674.0","2.11M","-0.22%"
"07/10/2024","133,171.0","133,270.0","133,965.0","132,674.0","1.33M","0.00%"
"04/10/2024","133,171.0","133,369.0","133,866.0","132,575.0","1.47M","0.08%"
"03/10/2024","133,071.0","134,462.0","135,157.0","133,071.0","2.30M","-1.03%"
