Ngay,Dong_cua,Mo,Cao,Thap,KL,Phan_tram
2025-06-25,119111.48,116000.0,116500.0,114900.0,6160000.0,-1.37
2025-06-25,376299824.23,116000.0,116500.0,114900.0,6160000.0,-1.37
2025-06-25,119111.48,116000.0,116500.0,114900.0,6160000.0,-1.37
2025-06-26,119111.48,116000.0,116500.0,114900.0,6160000.0,-1.37
2025-06-26,119111.48,116000.0,116500.0,114900.0,6160000.0,-1.37
2025-06-26,117834.31,115500.0,116300.0,114500.0,4590000.0,-0.17
